ID,Start_time,End_time,English,Español,Gloss
104,260013,260815,thinking all along.,(sin dejar de) pensar., PENSAR(2Msu) 
105,260849,261462,"""How [can this be possible]?","""¿Cómo [es posible]?",CÓMO 
106,261462,263124,When I saw (the child) I had felt sorry for her,Cuando (la) vi,PASADO MIRAR 
107,263124,264748,I felt sorry for that child and,me compadecí de esa niña (y),PENA PEQUEÑO2 G 
108,264748,266393,I took her into my arms.,la acogí., cl.m(5d):coger-persona 
109,266393,270068,If another [child] appeared in the future I would (likewise) take it in..,(Si) en el futuro (apareciese) otro [niño] lo acogería (igualmente de todos modos).,FUTURO OTRO cl.m(5d):coger-persona MENTE G:interrogativo 
110,270068,273011,Kuma (continued to) think about the solution.,Kuma (siguió) pensando en la solución., SOLUCIÓN PENSAR(2Msu) 
111,273011,274946,He went home.,Se fue a casa., IR CASA(M-AB) G:prosódico 
112,275130,278560,The next day at sunrise,Al día siguiente al (salir) el sol,MAÑANA DÍA 
113,278560,281476,(Kuma) went to the wizard’s house again.,(Kuma) fue otra vez a casa del brujo., OTRA-VEZ IR CASA(M-AB) BRUJO 
114,281489,282461,and called out (to the wizard).,Llamó (al brujo).,LLAMAR 
115,282742,284307,"""I have found another solution","""He encontrado otra solución",YA SOLUCIÓN HABER 
116,284307,285892,"I give you other solution.""","aporto otra solución.""", DAR(L)(2M) OTRO SOLUCIÓN 
117,287140,288224,"""Do you have [another solution]?","""¿Tienes [otra]?",HABER G:interrogativo 
118,288224,288818,What is it?,¿Cuál?, CUÁL 
119,288818,291121,"Explain the other solution to me.""","Explícame (la) otra (solución).""", EXPLICAR G:extrañeza OTRO G:extrañeza 
120,292781,298689,"""It would be better leave Arua in the middle of the forest""","""(Es) mejor dejar a Arúa en medio del bosque""",INDX.PRO:1sg BIEN(2M) SN:ARÚA ARROJAR MONTAÑA ARROJAR 
121,299800,303497,"""But how are you going to leave her (in the forest)?","""¿Cómo vas a dejarla (en el bosque)?", G:extrañeza CÓMO G:interrogativo ARROJAR 
122,303497,306563,You know that there are animals there: tigers pumas...,Sabes que allí (hay) animales trigres pumas...,SABER INDX ANIMAL2 G:prosódico TIGRE cl.c(5d):garras-andar G:pausa 
123,306563,307085,They will eat her,se la comerán,COMER2 
124,307085,307726,They will catch ,la cogerán (y),COGER 
125,307726,309083,her and kill her.,aniquilarán., ANIQUILAR G:prosódico 
126,309083,310177,You are cold blooded. [?],(Eres) frío. [?],HIELO G:¡venga! 
127,311353,312325,G,G, G:impotencia 
128,312751,316130,Moreover (your) seven sons will miss (her) company,Además (a tus) siete hijos les faltará (su) compañía,MÁS.SUMA HIJO SIETE NECESITAR(MP) AVAL 
129,316130,317716,and they will surely go looking for her.,seguro (que la) buscarán., BUSCAR(2Msu) ES.SEGURO(1M) G 
130,319109,322495,(Kuma was) thoughtful.,(Kuma quedó) pensativo., G PENSAR(2Msu) 
131,322495,323161,[And finally] went (and),[Pero finalmente] fue (y), CAMINAR(MP) 
132,323161,325418,left her on mount.,la dejó en la montaña.,ARROJAR MONTAÑA 
133,325422,327701,to her fate.,y la abandonó a su suerte.,YA G:indiferencia MORIR(MP) ABANDONAR B 
134,328813,334470,The next morning she was alone in the forest.,A la mañana siguiente ella (estaba) sola en el bosque., TRANSCURRIR DÍA G INDX SOLO2 MONTAÑA 
135,334470,337082,Arua was alone (and scared).,Arúa (estaba) sola (temerosa).,SOLO2 SN:ARÚA SOLO2 
136,337082,339780,In the evening (Arua feared the approaching) night.,Por la tarde (Arúa contemplaba atemorizada cómo se iba haciendo) de noche.,TARDE NOCHE 
137,339780,340329,and walked (terrified),Caminaba (aterrorizada), CAMINAR(MP) 
138,340329,344160,She felt a pain in her heart.,sentía en el corazón el dolor de la herida.,SENTIR CORAZÓN.FORMA DOLOR B APUÑALAR G 
139,344707,345596,(Arua) walked,(Arúa) caminaba, CAMINAR(MP) 
140,345596,348501,The forest became darker,el bosque (se hacía cada vez más) oscuro, OSCURO BOSQUE 
141,348501,350498,and shadows covered her.,las sombras (la) cubrían., SOMBRA 
142,350498,352220,As she walked,(A medida que) caminaba, CAMINAR(MP) 
143,352220,354826,She looked around,miraba (a su alrededor),MIRAR 
144,354826,356477,stopped,se detuvo,cl.e(2d):PERSONA-sentarse-suelo cl.e(Bh):SUELO 
145,356477,357804,She looked around,miró (a su alrededor).,MIRAR B 
146,357804,359274,She had felt the presence [of something],Había sentido la presencia [de algo],SENTIR HABER 
147,359274,361729,A tiger was approaching,un tigre (que) se aproximaba, ANIMAL2 TIGRE cl.c(5d):garras-andar 
148,361729,362903, (but) she saw (nothing), (pero) no vio (nada),VER-MAL 
149,362903,364477,She looked in all directions;,miró (en todas direcciones);,MIRAR 
150,364477,365573,She felt comforted,se sintió consolada,SENTIR CONTENTO 
151,365573,366111,There was nothing.,no había (nada).,HABER-NO 
152,366111,367841,"What a melancholy! How painful!"".",¡Qué melancolía! ¡Qué dolor!, DEPRESIÓN DOLOR G:prosódico 
153,367841,369574,(Arua) walked,(Arúa retomó) la marcha, CAMINAR(MP) 
154,369574,370668,and she stopped again,(pero) paró otra vez, OTRA-VEZ PARAR 
155,370668,371173,She couldn't (walk any more).,no podía [más/caminar],PODER2 B 
156,371173,372604,and sat scared,(y) se sentó (asustada),cl.e(2d):PERSONA-sentarse-suelo cl.e(Bh):SUELO 
157,372726,375866,It was completely dark.,había oscurecido por completo., G:pensar-narrador OSCURO NEGRO G:prosódico 
158,377352,380224,and there was a ray of light in the forest and,Sobre el bosque se abrió un claro (y), BOSQUE cl.d(5):nubes-abrirse 
159,380224,383244,the moon lit up over her.,la luna la iluminó.,cl.d(Lc&amp;gt;L&amp;gt;Lc):luna-forma LUZ 
160,383244,385431,(Arua) looked at the moon.,(Arúa la) miró., G:Arúa MIRAR 
161,386692,387994,"""I will help you.","""Te ayudaré",INDX.PRO:1sg AYUDAR 
162,387994,389593,Let me explain,te explico,INDX.PRO:1sg EXPLICAR 
163,389593,391674,I will give you shelter and take care of you.,te cobijaré (y) cuidaré.,INDX.PRO:2sg B CASA CUIDAR INDX.PRO:2sg 
164,391674,394813,I will defend you from the animals from the tiger.,Te defenderé de los animales del tigre.,INDX ANIMAL2 TIGRE G:animal-atacar INDX.PRO:2sg DEFENDER 
165,394813,396991,"Calm down I will help you.""","Tranquila (te) ayudaré.""", TRANQUILO AYUDAR 
166,398004,401537,"(Arua gazed up at the moon amazed) ""You are talking to me.""","(Arúa miraba la luna con asombro) ""Hablas (conmigo).""",G:mirar-asombrado EXPLICAR 
167,401537,405392,A flower blossomed in front of the dumbfounded Arua,Enfrente de Arúa (que contemplaba estupefacta) se abrió una flor,FLOR cl.e(Cc&amp;gt;5d):FLOR-abrirse 
168,405392,408017,illuminated by the light of the moon.,iluminada por la luz de la luna.,LUZ cl.e(Cc&amp;gt;5d):FLOR-abrirse 
169,408019,409287,I do not recognise this (she thought),"""No (la) conozco"" (pensó Arúa)",CONOCER NO 
170,409287,411224,while she looked at the flower.,(mientras) miraba la flor.,MIRAR FLOR MIRAR 
171,411224,417943,The petals opened more and more,Los pétalos (de la flor) se abrieron más y más,cl.e(C&amp;gt;5d):FLOR-abrirse cl.d(L&amp;gt;Lc):pétalos-forma cl.e(C&amp;gt;5d):FLOR-abrirse cl.e(5d):FLOR-ascender 
172,417943,420088,and wrapped around her completely.,(hasta) envolver (a Arúa) por completo., cl.d(5):flor-cubrir-Arúa 
173,420088,422996,Arua fell asleep inside the flower,(Arúa) se durmió (en el interior de la flor),DORMIRSE 
174,422996,423955,She did not feel any pain and,no había(/sentía) dolor (y),DOLOR HABER-NO 
175,423955,426281,relaxed ,se relajó , EMOCIÓN RELAJAR 
176,426281,430922,as the flower closed completely around her.,(a medida que) la flor se cerraba completamente sobre ella., cl.d(5):flor-cubrir-Arúa cl.e(5d&amp;gt;Cc):FLOR-cerrarse-persona cl.e(1):PERSONA 
177,431100,435147,The next day at sunrise,Por la mañana al salir el sol,DÍA AMANECER 
178,435147,437265,The seven sons of Kuma [began] looking for her and,los siete hijos de Kuma [empezaron a] buscar (y), HIJO SIETE SN:KUMA BUSCAR(2Msu) 
179,437265,438672,searched everywhere,mirar (por todas partes)., MIRAR(2M) 
180,438672,441028,"""Where could Arua be?"" (they asked).","""¿Dónde estará Arúa?""( se preguntaron).", CUÁL SN:ARÚA DÓNDE(2M) CUÁL 
181,441028,442077,(And started) to search.,(Empezaron a) buscar., BUSCAR(2Msu) 
182,442077,443705,There were a few foot prints in the ground,Había unas pisadas en el suelo, cl.c(I):PIE-pisar LO-DE-ANTES 
183,443705,445711,They followed the footprints,siguieron las huellas, cl.c(I):PIE-pisar cl.e(1):PERSONAS-desplazarse 
184,445711,447477,They walked in a row following the footsteps,(fueron) en fila siguiendo las huellas, cl.c(I):PIE-pisar cl.e(1):PERSONAS-desplazarse 
185,447477,448847,(to the point where) the footprints disappeared.,(hasta el lugar en el que) las huellas desaparecían., cl.c(I):PIE-pisar DESAPARECER 
186,448847,451015,"""She is not here"" they said astounded upon reach that point.","""No está"" (dijeron extrañados al llegar a ese punto).", cl.c(I):PIE-pisar HABER-NO(2M) G:extrañeza 
187,451015,454130,The seven looked for Arua around the place,Los siete buscaron a Arúa por los alrededores, BUSCAR(2Msu) cl.e(2):PERSONAS7-desplazarse cl.e(5):PERSONAS7-desplazarse G:hijo-buscando cl.e(2):PERSONAS7-desplazarse cl.e(5):PERSONAS7-desplazarse 
188,454130,454850,"""Where (could she be)?""","""¿Dónde (estará) Arúa?""", SN:ARÚA DÓNDE 
189,454850,455992,The seven gazed into the distance,Los siete dirigieron (su mirada),cl.e(2):PERSONAS7-girarse cl.e(5):PERSONAS7-girarse 
190,455992,457743,at the flower containing Arua.,hacia la flor que contenía a Arúa.,cl.e(5d&amp;gt;Cc):FLOR-cerrarse-persona cl.e(1):PERSONA 
191,457970,459073,When the seven looked at the flower,Al mirar los siete,cl.e(2):PERSONAS7-girarse+mirar cl.e(5):PERSONAS7-girarse+mirar 
192,459073,460125,The flower containing Arua closed,la flor (de Arúa) se cerró,cl.e(5d&amp;gt;Cc):FLOR-cerrarse-persona cl.e(1):PERSONA 
193,460125,460615,The petals closed.,se cerraron los pétalos, G:persona-encogerse 
194,460615,461385,with Arua inside.,(que) contenían a Arúa., G:flor-cubrir-cabeza cl.e(Cc):FLOR-cerrada-persona cl.e(1):PERSONA 
195,461698,462312,Upon seeing this,Al ver (esto),cl.e(2):PERSONAS7 cl.e(5):PERSONAS7 
196,462312,464162,The seven headed (towards the flower).,los siete se dirigieron (hacia la flor).,cl.e(2):PERSONAS7-aproximarse cl.e(5):PERSONAS7-aproximarse 
197,464162,464759,as they approached  it,Al acercarse (a ella),B CERCA 
198,464759,467101,The seven were transformed into butterflies and,los siete se transformaron en mariposas (y),cl.e(2):PERSONAS7-moverse cl.e(5):PERSONAS7-moverse MARIPOSA 
199,467101,469343,(began to) flit around the flower,(empezaron a) revolotear sobre la flor, cl.e(55):MARIPOSA-volar 
200,469343,470765,(but) not close (to it),(pero) no cerca (de ella), CERCA NO 
201,470765,471513,(That) would kill them,(eso) las mataría, MORIR(MP) 
202,471513,473110,It was a dangerous flower.,(es) una flor peligrosa.,VER^DEBER FLOR 
203,473110,475185,The butterflies rose in the air flying,Las mariposas ascendieron volando, cl.e(55):MARIPOSA-ascender 
204,475185,476667,and disappeared into the distance.,(hasta) desaparecer., DESAPARECER 
1,276,3522,A dog sitting opposite,Un dormitorio con una cama; un niño sentado a los pies de la cama, HABITACIÓN CAMA HOMBRE cl.e(2d):PERSONA-sentada 
2,3522,5159,Hmm...,un perro sentado enfrente,B:cl.e(2d):PERSONA-sentada PERRO cl.e(2d):PERSONA-sentada-con+perro cl.e(Hd):PERRO-sentado-con+persona 
3,5159,8999,They look at the jar surprised,Un frasco con una rana dentro, cl.d(5d):frasco RANA cl.e(Hd):RANA-en-frasco cl.e(C):FRASCO 
4,8999,12637,Leaves It,(El niño y perro) miran (fijamente la rana)., MIRAR(2M) 
5,12637,13985,and begins to search here,El niño y el perro se van, B:MIRAR cl.e(2b):PERSONA-desplazarse-con+perro cl.e(2b):PERRO-desplazarse-con+persona 
6,13985,16130,to search here,(el niño) se mete en cama, CAMA ACOSTARSE 
7,16130,18947,it looks carefully,(y el perro) se sube a la cama,B:ACOSTARSE PERRO cl.e(Bh):CAMA cl.e(2d):PERRO-ascender+a-cama cl.e:CAMA cl.e(2d):PERRO-posarse-cama 
8,18947,20476,stands up and looks inside something,La rana está dentro del frasco, cl.d(5d):frasco cl.e(Hd):RANA-en-frasco cl.e(C):FRASCO 
9,20476,21295,The boy looks out the window,trepa por él,cl.e(2d):RANA-ascender+a-frasco B:cl.e(C):FRASCO 
10,21295,22721,looking from inside the bottle,salta fuera,cl.e(2d):RANA-saltar+de-frasco B:cl.e(C):FRASCO 
11,22721,25823,until,y se aleja,cl.e(Hd):RANA-alejarse-frasco B:cl.e(C):FRASCO 
12,25823,26883,and the jar breaks,Desaparece, DESAPARECER 
13,28081,30616,and gets blown into smithereens,(Se hace) de día, DÍA 
14,30616,32160,when suddenly he sees the dog,Mmm..., G:mmm G:mmm 
15,32160,33166,and caresses it,El niño se levanta,cl.e(2b):PERSONA-descender+de-cama cl.e(Bh):CAMA 
16,33166,34840,The two begin to explore the place,el perro se levanta con el niño,cl.e(2d):PERRO-descender+de-cama B:cl.e(Bh):CAMA PERRO B:cl.e(Bh):CAMA cl.e(2d):PERRO-descender+de-cama B:cl.e(Bh):CAMA cl.e(2d):PERRO-con+persona cl.e(2d):PERSONA-con+perro 
17,34840,35514,They see something that makes them stop,miran (extrañados el frasco), MIRAR(2M) 
18,35514,38352,In front of them is a wood,(El niño) examina el frasco, cl.d(5d):frasco cl.m(C):examinar-frasco 
19,38352,39149, there is a hive in one of the trees,lo deja, cl.m(C):colocar-frasco 
20,39149,39651,with bees swarming,(y se pone) a buscar (por aquí), BUSCAR(2Msu) 
21,39651,40433,The boy sees the hive,a buscar (por allá), BUSCAR(2Msu) 
22,40433,41422,The dog runs toward the tree,a buscar (por aquí), BUSCAR(2Msu) 
23,41422,43256,and moves towards the hive,a buscar (por allá), BUSCAR(2Msu) 
24,43256,45466,It sniffs,El perro mira dentro del frasco,PERRO B:BUSCAR(2Msu) cl.e(C):frasco B:cl.e(C):frasco 
25,45466,45989,and approaches leaping,lo observa (escrupulosamente),MIRAR B:cl.e(C):frasco 
26,45989,47205,to the place where there are bees,El frasco se le mete en la cabeza, cl.e(C):FRASCO-descender 
27,47205,49987,coming out of the hive,y le queda encajado, cl.e(C):FRASCO 
28,49987,51997,The dog is on all fours,El niño (sigue) buscando,HOMBRE PEQUEÑO2 BUSCAR(2Msu) 
29,51997,53288,and exits fleeing,Levanta y mira en el interior de algo, cl.m(Q):levantar-objeto 
30,53288,56466,chased by a swarm of bees,coge una prenda de ropa (y la examina incrédulo), ROPA cl.m(5&amp;gt;Q):coger-prenda cl.m(Xc):examinar-prenda cl.m(Xc):agarrar-prenda 
31,56466,58297,The boy sees an owl in the distance.,Los dos se asoman por la ventana, VENTANA cl.e(2d):PERSONA-asomarse-con+perro cl.e(2d):PERRO-asomarse-con+persona 
32,58297,59233,The owl glides towards the boy,el niño mira por la ventana,cl.e(1):PERSONA cl.e(2d):PERRO B:cl.e(1):PERSONA cl.e(2d):PERRO 
33,59233,61889,and the boy runs away,(y) el perro (está) en la ventana con el frasco en la cabeza, VENTANA B:VENTANA cl.e(2d):PERRO-asomado PERRO B:cl.e(2d):PERRO-asomado cl.e(C):FRASCO-en-cabeza 
34,61889,66161,at a certain distance the dog also runs,El niño está mirando (con detenimiento en todas direcciones),HOMBRE MIRAR(MP) 
